year,month,DT_NOTIFICACAO,SG_UF_NOT,ID_MUNICIP,DT_CARGA,count
2020,3,2020-03-04,SP,VOTUPORANGA,2024-08-04,1
2020,3,2020-03-06,GO,GOIANIA,2024-08-04,1
2020,2,2020-02-28,ES,SANTA TERESA,2024-08-04,1
2020,3,2020-03-14,PE,PETROLINA,2024-08-04,1
2020,3,2020-03-18,PA,MARABA,2024-08-04,1
2020,3,2020-03-20,SC,TIMBO,2024-08-04,1
2020,3,2020-03-20,SP,MOGI DAS CRUZES,2024-08-04,3
2020,3,2020-03-22,SP,SAO BERNARDO DO CAMPO,2024-08-04,1
2020,3,2020-03-23,MS,CAMPO GRANDE,2024-08-04,19
2020,3,2020-03-20,MG,CONTAGEM,2024-08-04,2
2020,3,2020-03-17,SP,PRAIA GRANDE,2024-08-04,1
2020,3,2020-03-24,RS,NOVO HAMBURGO,2024-08-04,1
2020,3,2020-03-22,RS,SARANDI,2024-08-04,1
2020,3,2020-03-24,SP,ITAQUAQUECETUBA,2024-08-04,2
2020,3,2020-03-26,SP,SUMARE,2024-08-04,4
2020,3,2020-03-06,PR,LONDRINA,2024-08-04,2
2020,3,2020-03-27,SP,ITAPETININGA,2024-08-04,2
2020,3,2020-03-24,SC,CRICIUMA,2024-08-04,4
2020,3,2020-03-27,SP,CARAGUATATUBA,2024-08-04,6
2020,3,2020-03-24,RN,NATAL,2024-08-04,8
2020,3,2020-03-30,SP,ALTINOPOLIS,2024-08-04,3
2020,3,2020-03-27,PB,SANTA RITA,2024-08-04,1
2020,3,2020-03-31,SC,SAO JOSE,2024-08-04,6
2020,3,2020-03-29,PR,PONTA GROSSA,2024-08-04,1
2020,4,2020-04-01,SP,INDAIATUBA,2024-08-04,2
2020,4,2020-04-02,ES,GUARAPARI,2024-08-04,2
2020,4,2020-04-05,MG,BARBACENA,2024-08-04,4
2020,3,2020-03-19,SP,ITUVERAVA,2024-08-04,1
2020,4,2020-04-03,PR,CAMBE,2024-08-04,1
2020,3,2020-03-31,MG,VARZELANDIA,2024-08-04,1
2020,4,2020-04-08,SP,JUNDIAI,2024-08-04,6
2020,3,2020-03-24,GO,CORUMBA DE GOIAS,2024-08-04,1
2020,1,2020-01-02,BA,SALVADOR,2024-08-04,1
2020,4,2020-04-10,SP,OSASCO,2024-08-04,18
2020,4,2020-04-09,SP,PENAPOLIS,2024-08-04,2
2020,4,2020-04-12,AM,MANAUS,2024-08-04,109
2020,4,2020-04-12,SP,MOGI GUACU,2024-08-04,1
2020,4,2020-04-05,PB,CAMPINA GRANDE,2024-08-04,3
2020,4,2020-04-14,SP,MONTE ALTO,2024-08-04,3
2020,4,2020-04-13,ES,SANTA MARIA DE JETIBA,2024-08-04,1
2020,4,2020-04-14,SP,SAO JOAO DA BOA VISTA,2024-08-04,2
2020,4,2020-04-13,RN,CAICO,2024-08-04,1
2020,4,2020-04-15,SP,SANTA ISABEL,2024-08-04,4
2020,1,2020-01-07,PE,RECIFE,2024-08-04,2
2020,2,2020-02-04,SP,RIBEIRAO PRETO,2024-08-04,1
2020,2,2020-02-05,BA,PORTO SEGURO,2024-08-04,1
2020,2,2020-02-14,SP,ARACATUBA,2024-08-04,2
2020,1,2020-01-17,BA,FEIRA DE SANTANA,2024-08-04,1
2020,2,2020-02-27,MG,BETIM,2024-08-04,1
2020,3,2020-03-11,SP,ITAPETININGA,2024-08-04,1
2020,3,2020-03-09,RN,NATAL,2024-08-04,3
2020,3,2020-03-18,MG,DIVINOPOLIS,2024-08-04,3
2020,3,2020-03-19,SC,JARAGUA DO SUL,2024-08-04,3
2020,3,2020-03-22,SP,SANTOS,2024-08-04,7
2020,3,2020-03-23,SP,LENCOIS PAULISTA,2024-08-04,1
2020,3,2020-03-23,SP,ROSANA,2024-08-04,1
2020,3,2020-03-19,RS,IBIRUBA,2024-08-04,1
